id,text,label
4409,is the attorney general part of the cabinet,False
1713,is there a laugh track in how i met your mother,True
3628,does new york city have a rat problem,True
4088,are tampons and pads taxed in the us,True
4346,is there such thing as a king german shepherd,True
6578,is there a season 3 of wyonna earp,True
417,can you wear a polo for business casual,True
3665,are great danes part of the mastiff family,True
6737,is the united states on the metric system,False
6449,do the eh bee family live in canada,True
1699,does a throw in count as a goal,False
8271,is driver's license a government issued id,True
6820,can passengers drink alcohol in a car in west virginia,True
9248,is a social security card a primary form of identification,False
4119,is just breathe by pearl jam in a movie,True
502,is a wooly mammoth the same as a mastodon,False
1275,is thanksgiving the last thursday of november every year,False
2655,do male and female red pandas look the same,True
808,is the swan and dolphin hotel owned by disney,True
317,can you have identical twins that are different genders,False
7614,can you play an xbox game on xbox one,True
5106,is there such thing as post vacation depression,True
7024,can game boy advance play game boy games,True
4130,is beijing in the same time zone as shanghai,True
7520,is a 22 wmr the same as a 22 mag,True
5973,did they ever make a golden compass 2,False
637,is po box the same as zip code,False
7946,can you get a 3 second violation on defense,True
7750,is saigon the same as ho chi minh city,True
2282,has tiger woods ever won all 4 majors in one year,False
1894,is the loud house based on a true story,True
3810,is peppermint oil and peppermint extract the same thing,False
4336,did the tea act increase the price of tea,True
6976,can a boomerang be used as a weapon,True
3998,do carol and doug get married on er,True
6888,did one of the twins from full house die,False
6443,are the tattoos real in just tattoo of us,True
1785,does the old xbox one controller have bluetooth,False
8741,can you see orion's belt in the northern hemisphere,True
139,do supreme court judges get secret service protection,False
696,can i have dual citizenship in new zealand,True
9370,did jenna die in pretty little liars season 4,False
3101,does a dh have to hit for the pitcher,True
8681,did jurassic world fallen kingdom come out yet,True
8491,was the united states involved in desert storm yes no,True
3090,does harley davidson have a plant in india,True
6791,in england the voltage of residential electrical outlets is 230v,True
8914,was meet me in st louis filmed in color,True
8678,are virgin mobile and bell the same company,False
4829,is there an age limit for being president,True
892,are keebler grasshoppers the same as thin mints,True
403,does switzerland give a gun to every household,True
6440,did the speaker of the house vote on the 13th amendment,True
6423,is the durrells in corfu a true story,True
3845,is there a season 14 of greys anatomy,True
6886,is season 6 the last season of grimm,True
7172,true or false the oregon country was claimed by three different countries in the early 1800s,True
5640,has any country won world cup at home,True
8355,is a structure found in the crista ampullaris,False
6842,was harry potter filmed at university of chicago,False
8043,is the film a united kingdom based on a true story,True
9144,are they still making episodes of grey's anatomy,True
2643,does the toyota rav4 have 4 wheel drive,True
5945,a cutoff meander can become an oxbow lake,True
166,is antioch ca part of the bay area,True
3021,do you have to be a citizen to play on a national soccer team,True
668,is dobby in the goblet of fire movie,False
7685,are mitochondria part of the prokaryotic cell structure,False
5053,do you have to carry your draft card,False
8679,was the strangers movie based on true events,True
6058,is the process of obtaining the goods and services needed by an organization,True
6932,is it illegal to not turn right on red,False
